iter	Passed	Remaining
0	1	1164
1	1	918
2	2	782
3	2	736
4	3	689
5	4	689
6	4	680
7	5	664
8	5	652
9	6	642
10	7	634
11	7	630
12	8	628
13	8	628
14	9	627
15	10	621
16	10	628
17	11	637
18	12	639
19	12	632
20	13	632
21	14	634
22	14	627
23	15	623
24	15	618
25	16	613
26	17	614
27	17	612
28	18	614
29	18	613
30	19	612
31	20	610
32	20	607
33	21	604
34	21	599
35	22	598
36	22	596
37	23	597
38	24	597
39	24	596
40	25	596
41	26	597
42	26	595
43	27	594
44	27	592
45	28	592
46	29	596
47	30	596
48	30	595
49	31	593
50	31	591
51	32	588
52	32	588
53	33	587
54	34	585
55	34	583
56	35	580
57	35	580
58	36	579
59	36	578
60	37	576
61	37	574
62	38	572
63	39	570
64	39	571
65	40	569
66	40	568
67	41	566
68	42	567
69	42	566
70	43	565
71	43	564
72	44	563
73	44	561
74	45	559
75	45	559
76	46	556
77	47	556
78	47	554
79	48	557
80	49	556
81	49	556
82	49	552
83	50	550
84	50	548
85	51	546
86	52	546
87	52	544
88	53	543
89	53	542
90	54	542
91	54	541
92	55	540
93	57	549
94	57	550
95	58	550
96	59	549
97	59	549
98	60	548
99	61	549
100	61	548
101	62	546
102	62	546
103	63	546
104	64	545
105	64	544
106	65	544
107	65	543
108	66	543
109	67	542
110	67	542
111	68	542
112	68	540
113	69	539
114	70	539
115	70	539
116	71	538
117	72	538
118	72	539
119	73	539
120	74	539
121	74	538
122	75	538
123	76	537
124	76	536
125	77	536
126	77	533
127	78	532
128	78	532
129	79	532
130	80	532
131	80	531
132	81	531
133	82	530
134	82	529
135	83	528
136	83	527
137	84	526
138	84	525
139	85	525
140	86	525
141	86	524
142	87	524
143	88	523
144	88	522
145	89	521
146	89	520
147	90	519
148	90	517
149	91	516
150	91	516
151	92	516
152	93	515
153	93	514
154	94	513
155	94	512
156	95	512
157	95	511
158	96	510
159	97	510
160	97	508
161	98	508
162	98	507
163	99	507
164	100	506
165	100	505
166	101	505
167	101	504
168	102	503
169	102	502
170	103	501
171	104	501
172	104	500
173	105	499
174	105	499
175	106	497
176	106	496
177	107	495
178	107	494
179	108	493
180	108	492
181	109	492
182	110	492
183	110	491
184	111	490
185	112	490
186	112	489
187	113	488
188	113	487
189	114	487
190	114	486
191	115	485
192	116	486
193	117	486
194	117	485
195	118	485
196	118	484
197	119	484
198	120	483
199	120	483
200	121	482
201	122	483
202	123	484
203	123	483
204	124	482
205	125	482
206	125	481
207	126	482
208	127	481
209	128	482
210	129	483
211	129	483
212	130	482
213	131	482
214	131	481
215	132	482
216	133	481
217	135	485
218	136	488
219	137	487
220	138	487
221	139	488
222	139	487
223	141	489
224	142	490
225	142	489
226	143	489
227	144	488
228	144	487
229	145	487
230	146	487
231	147	489
232	148	489
233	149	489
234	150	488
235	150	488
236	151	487
237	152	488
238	153	488
239	154	487
240	154	487
241	155	487
242	156	486
243	156	485
244	157	485
245	158	485
246	159	485
247	159	484
248	160	484
249	161	483
250	161	482
251	162	482
252	163	481
253	163	481
254	164	480
255	165	481
256	166	480
257	166	479
258	167	479
259	168	478
260	168	478
261	169	478
262	170	477
263	171	477
264	172	477
265	172	476
266	173	476
267	174	475
268	174	475
269	175	474
270	176	474
271	177	473
272	177	473
273	178	472
274	179	472
275	179	471
276	180	471
277	181	470
278	181	470
279	182	469
280	183	469
281	184	468
282	184	468
283	185	467
284	186	467
285	186	466
286	187	466
287	188	465
288	189	465
289	189	464
290	190	463
291	190	463
292	191	462
293	192	461
294	192	460
295	193	459
296	193	458
297	194	458
298	195	457
299	195	457
300	196	456
301	197	455
302	197	454
303	198	453
